game_name,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404,parsed_name
Unpacking,31.0,84,7.8,/game/pc/unpacking/critic-reviews,,,,,,,,,,,,,,86.0,,80.0,,,,,,,,,,,,,,,85.0,80.0,,90.0,,,,,,,,,,,,,,,70.0,,,,80.0,55.0,,,85.0,,90.0,,,,,,,,,,100.0,,,,,,,95.0,,80.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,80.0,,85.0,,,75.0,,,,,,,100.0,,,,,,,,,80.0,,,80.0,,,,80.0,,,,80.0,,,,,,,,,,,,,85.0,,,,,90.0,,,,,,Unpacking
Final Fantasy IV Pixel Remaster,32.0,83,6.1,/game/pc/final-fantasy-iv-pixel-remaster/critic-reviews,,,,,,,,,,,,,90.0,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,90.0,,90.0,,,,,,,,,,,,,80.0,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FinalFantasyIVPixelRemaster
I Expect You To Die 2: The Spy And The Liar,33.0,83,tbd,/game/pc/i-expect-you-to-die-2-the-spy-and-the-liar/critic-reviews,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,90.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,85.0,,90.0,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,80.0,,,,IExpectYouToDie2TheSpyAndTheLiar
Crash Bandicoot 4: It's About Time,34.0,83,5.4,/game/pc/crash-bandicoot-4-its-about-time/critic-reviews,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,90.0,,,,79.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,CrashBandicoot4ItsAboutTime
Little Nightmares II,35.0,83,8.2,/game/pc/little-nightmares-ii/critic-reviews,,80.0,,,,88.0,,84.0,,,,85.0,,,,,,,,,,,85.0,,,,,,,,,70.0,,,,,,,,80.0,,,,,75.0,87.0,,70.0,,100.0,,,90.0,,,70.0,78.0,85.0,,,,,,,90.0,,,,,80.0,91.0,,,,,,,80.0,,,,,,,,,,90.0,,,,,70.0,90.0,,90.0,,,,,,86.0,85.0,,85.0,,,78.0,90.0,76.0,80.0,80.0,,,,,91.0,,,,,,,90.0,,,,,,,,,,,,,100.0,,,,,,90.0,,,,,,,,,,,90.0,,,,,86.0,,,,LittleNightmaresII
Kena: Bridge of Spirits,36.0,83,8.0,/game/pc/kena-bridge-of-spirits/critic-reviews,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,87.0,,,,,,,,,87.0,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,95.0,,,75.0,,85.0,,,71.0,,65.0,90.0,80.0,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KenaBridgeofSpirits
Trials of Fire,37.0,83,6.9,/game/pc/trials-of-fire/critic-reviews,,,,,,,,,,,,,,,,,,80.0,,,,,,,80.0,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,90.0,,90.0,,80.0,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,80.0,,,,80.0,90.0,,,,,,,,,,,80.0,,,,,,,,TrialsofFire
The Riftbreaker,38.0,83,8.5,/game/pc/the-riftbreaker/critic-reviews,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,90.0,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,72.0,,,,,,,,TheRiftbreaker
Shadow Tactics: Blades of the Shogun - Aiko's Choice,39.0,83,8.4,/game/pc/shadow-tactics-blades-of-the-shogun---aikos-choice/critic-reviews,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,70.0,,,,,,,90.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,75.0,,60.0,,,,80.0,,,,,,,,,,,,,,,,95.0,,,80.0,,,85.0,,,,,80.0,,,,,,,,,,,,,,,,,75.0,,95.0,,,,,,ShadowTacticsBladesoftheShogunAikosChoice
Sunlight,40.0,83,4.7,/game/pc/sunlight/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,90.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,Sunlight
Pathfinder: Wrath of the Righteous,41.0,83,7.7,/game/pc/pathfinder-wrath-of-the-righteous/critic-reviews,,,,,,,,,,,,85.0,,85.0,,80.0,,,70.0,,,,,,,,,,,,,,80.0,,,,,,,,,,,80.0,,89.0,,,,,,,,95.0,,,87.0,,,,,,,85.0,,88.0,90.0,,,,,,80.0,80.0,,,,,,,,,80.0,,80.0,87.0,,90.0,,88.0,,,,,,,,,,75.0,,,,,85.0,82.0,,,,76.0,,85.0,,,,,,,,,,,,,82.0,,,80.0,80.0,,,,,80.0,,,,,,,,,90.0,,,,,,,,,,,,80.0,,,,90.0,,,,PathfinderWrathoftheRighteous
The Great Ace Attorney Chronicles,42.0,83,6.4,/game/pc/the-great-ace-attorney-chronicles/critic-reviews,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,80.0,,,,90.0,,,,,,,,,,,,,73.0,80.0,80.0,,,,,,,,,90.0,90.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TheGreatAceAttorneyChronicles
Resident Evil Village,43.0,83,8.4,/game/pc/resident-evil-village/critic-reviews,,,,,88.0,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,78.0,,,,90.0,,,80.0,,,90.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,83.0,,,,,85.0,92.0,,,,85.0,80.0,85.0,80.0,80.0,,,,,,40.0,,,,87.0,68.0,,,,,,,,,,,80.0,,,,,,,,,,,90.0,,,,,,,,,,,90.0,,,,,ResidentEvilVillage
Demeo,44.0,83,8.2,/game/pc/demeo/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,81.0,,,,,100.0,,,,,,100.0,,,80.0,,,,,,,70.0,,,,Demeo
Chivalry 2,45.0,82,5.0,/game/pc/chivalry-2/critic-reviews,83.0,,,,,,,,,,,90.0,,,,80.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,81.0,,,,,,,90.0,,,,83.0,,70.0,80.0,80.0,,,,,,,,,,,88.0,,90.0,,85.0,,70.0,,,,,90.0,,,,,80.0,,,90.0,,80.0,,,,,,,80.0,85.0,83.0,,,80.0,80.0,60.0,,,91.0,70.0,80.0,80.0,,90.0,,,,,,,,,,,,,80.0,90.0,,,,,80.0,,,,88.0,80.0,,,,,,,,,,,,,80.0,,,,,,90.0,83.0,,,,Chivalry2
Kaze and the Wild Masks,46.0,82,7.8,/game/pc/kaze-and-the-wild-masks/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,80.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,83.0,,,,,,85.0,,,,,,,,,,,,79.0,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,KazeandtheWildMasks
Rainbow Billy: The Curse of the Leviathan,47.0,82,8.4,/game/pc/rainbow-billy-the-curse-of-the-leviathan/critic-reviews,,,,,,,,,,,,,,,,,,,,85.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,80.0,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,RainbowBillyTheCurseoftheLeviathan
Yakuza 6: The Song of Life,48.0,82,8.5,/game/pc/yakuza-6-the-song-of-life/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,80.0,,,70.0,79.0,,,,80.0,,,,,,,81.0,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,Yakuza6TheSongofLife
Eastward,49.0,82,7.3,/game/pc/eastward/critic-reviews,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,90.0,,,70.0,80.0,90.0,,,,90.0,,,,85.0,,,,,,,,,,,,90.0,,,72.0,,90.0,,,,50.0,,,85.0,,,,80.0,,,,,,80.0,,,,90.0,,,80.0,,,,70.0,,,,,,90.0,,,,,,,,,85.0,,,90.0,88.0,60.0,,95.0,78.0,80.0,,,,90.0,,100.0,,,,,80.0,,82.0,,,,100.0,,,,,,75.0,,,,,80.0,,,,90.0,,,,,80.0,,,,78.0,,,,,,,,,,,Eastward
The Ramp,50.0,82,tbd,/game/pc/the-ramp/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,100.0,,,,,,,,75.0,,,,88.0,,,,,,,,,,,,,,,,,,,,,,80.0,70.0,,,,,,,,,,,,,,,80.0,,,,,,,,80.0,,,,,,,,,,,TheRamp
Subnautica: Below Zero,51.0,82,6.3,/game/pc/subnautica-below-zero/critic-reviews,84.0,,,60.0,,,80.0,,,,,90.0,,,,70.0,,85.0,,85.0,,,85.0,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,85.0,,,,,,,,,,70.0,,,,,,,,,,,,,,,,90.0,,70.0,,,,,,,,80.0,,,,,,,,,84.0,,,70.0,,,74.0,,86.0,90.0,85.0,,,,,,85.0,85.0,,,,,,,,,,,,,,,,,,,90.0,70.0,,,,,80.0,84.0,,,,,,,,,,75.0,,,,,,,,SubnauticaBelowZero
Outer Wilds: Echoes of the Eye,52.0,82,8.7,/game/pc/outer-wilds-echoes-of-the-eye/critic-reviews,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,70.0,,,,,,,90.0,,,,,,,,,80.0,,,,,,,,,,80.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OuterWildsEchoesoftheEye
Archvale,53.0,82,7.7,/game/pc/archvale/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,75.0,,,90.0,,,,,,,,,70.0,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archvale
Final Fantasy V Pixel Remaster,54.0,82,8.4,/game/pc/final-fantasy-v-pixel-remaster/critic-reviews,,,,,,,,,,,,,90.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,91.0,,,80.0,80.0,,,80.0,,,,,,80.0,,,,,,,,,80.0,,,,,,,,,,80.0,,,,,,75.0,,,,,,,,,,,,90.0,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,FinalFantasyVPixelRemaster
Tainted Grail: Conquest,55.0,82,7.3,/game/pc/tainted-grail-conquest/critic-reviews,,,,,,,,,,,90.0,85.0,,68.0,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,75.0,,80.0,,,,,,,,,,,,,,,,85.0,,,,,90.0,,,,,,,,,,,,,,,,,,,TaintedGrailConquest
Quake Remastered,56.0,82,9.0,/game/pc/quake-remastered/critic-reviews,,,,,,,,,,,,80.0,,,,,,,90.0,,,,90.0,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QuakeRemastered
Monster Hunter Stories 2: Wings of Ruin,57.0,82,7.8,/game/pc/monster-hunter-stories-2-wings-of-ruin/critic-reviews,,,,,,,90.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,90.0,,,,,,,75.0,75.0,,,,,,,,,,,,,,,,,80.0,,,,,,,,80.0,,,85.0,,,,,,,,,,,,,,,,,,,80.0,,,,,80.0,90.0,80.0,80.0,,,,,,85.0,,,80.0,,,,,,,,,,,,,80.0,,,,,,,,,,,80.0,,,,80.0,,,,,80.0,,90.0,90.0,,,,,MonsterHunterStories2WingsofRuin
Loop Hero,58.0,82,8.1,/game/pc/loop-hero/critic-reviews,68.0,,,,,,70.0,,,,,85.0,,88.0,,80.0,,,,,,,,,86.0,,,,,,,50.0,80.0,82.0,,,,60.0,,,,85.0,85.0,90.0,,,,,80.0,95.0,,,,,80.0,80.0,85.0,,80.0,,90.0,80.0,,80.0,88.0,,70.0,,,,,90.0,,,,90.0,,90.0,80.0,80.0,,98.0,80.0,,,80.0,,,80.0,90.0,,,75.0,,80.0,,,,86.0,,95.0,82.0,,,,88.0,,79.0,85.0,83.0,80.0,90.0,80.0,,,,,,,,,,,91.0,,,,80.0,90.0,90.0,,80.0,90.0,,,,,90.0,,,,,90.0,80.0,73.0,,,90.0,,,,85.0,,,,,,,,,,,LoopHero
Cyber Shadow,59.0,82,7.1,/game/pc/cyber-shadow/critic-reviews,81.0,,,,,80.0,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,70.0,,,80.0,,,,,,,,,,,,,,,,,,,,,80.0,83.0,,80.0,,,,,,,,,,75.0,90.0,,,,,,,,79.0,,,,72.0,,,90.0,75.0,,95.0,,,,,,,,,,,,89.0,,,,80.0,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,CyberShadow
Doki Doki Literature Club Plus!,60.0,81,8.8,/game/pc/doki-doki-literature-club-plus!/critic-reviews,,,,,,,,,,,,,,,,70.0,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,80.0,,,,,,,,,,88.0,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,DokiDokiLiteratureClubPlus!
Star Wars Pinball VR,61.0,81,tbd,/game/pc/star-wars-pinball-vr/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,80.0,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,65.0,90.0,,,80.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,90.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,80.0,,,,,80.0,,,,,,,,,,,,,,StarWarsPinballVR
GRIME,62.0,81,8.0,/game/pc/grime/critic-reviews,,,,,,,,,,,,,,82.0,,80.0,,,,,,,,,,,,,,,,,80.0,80.0,80.0,,,,,,,,,,,,,,55.0,,,,90.0,80.0,,,,,,,,,,,,,,,,,,,,90.0,,95.0,,80.0,,70.0,,,90.0,,,92.0,,,,,,,,,,,,,,,,,,,,80.0,100.0,,75.0,,,85.0,,,,,,,,,,,,89.0,,,,,80.0,,,70.0,,78.0,,,,,60.0,,,,,80.0,,75.0,,,,,,,85.0,,,,80.0,,,,,,GRIME
Life is Strange: True Colors,63.0,81,6.7,/game/pc/life-is-strange-true-colors/critic-reviews,,80.0,,,,,80.0,,,,,,95.0,92.0,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,85.0,,,,85.0,,,,,,70.0,82.0,,,,,,,,,,,80.0,,,,,,,,90.0,,,,,,,,,80.0,,,,,,,,70.0,,,,,,,,,,82.0,,85.0,,,83.0,,86.0,70.0,90.0,80.0,,,,100.0,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,75.0,,,,,,80.0,80.0,,,,LifeisStrangeTrueColors
The Sims 4: Cottage Living,64.0,81,5.3,/game/pc/the-sims-4-cottage-living/critic-reviews,,,,,,,,,,,,90.0,,85.0,,,,,,,,,,75.0,,70.0,,,,,,,,,,,83.0,,,,,,,,,,,,,75.0,,,,,,,79.0,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,75.0,,80.0,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,TheSims4CottageLiving
Boomerang X,65.0,81,7.3,/game/pc/boomerang-x/critic-reviews,,,,,,,,,,,,80.0,,72.0,,70.0,,,,,,80.0,90.0,,90.0,,,,,,,80.0,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,80.0,,80.0,,70.0,80.0,,,,,,,,,,75.0,90.0,,,,,,,,83.0,,,,75.0,100.0,,65.0,,,70.0,,,,,,,,,,,,,,,,90.0,80.0,,,,85.0,,,,,80.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,BoomerangX
Overboard!,66.0,81,tbd,/game/pc/overboard!/critic-reviews,,100.0,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,85.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overboard!
Silicon Dreams,67.0,81,tbd,/game/pc/silicon-dreams/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,65.0,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,SiliconDreams
Age of Empires IV,68.0,81,7.8,/game/pc/age-of-empires-iv/critic-reviews,80.0,,,,90.0,90.0,,95.0,,,,,100.0,84.0,,80.0,,,,,,,,65.0,,,,,90.0,,,70.0,80.0,85.0,,,85.0,80.0,,80.0,,83.0,85.0,80.0,75.0,68.0,70.0,,,,90.0,90.0,70.0,,80.0,70.0,86.0,75.0,80.0,85.0,,,60.0,,,89.0,80.0,,,100.0,,,,95.0,,90.0,60.0,80.0,80.0,80.0,89.0,,80.0,,80.0,86.0,,80.0,90.0,98.0,,75.0,80.0,,,80.0,85.0,60.0,,,,85.0,84.0,70.0,85.0,90.0,80.0,77.0,,77.0,80.0,85.0,80.0,,,85.0,,80.0,75.0,,,,,86.0,,,,60.0,,,,,,82.0,80.0,,,87.0,,,,,,80.0,85.0,,,,,80.0,80.0,85.0,,,90.0,,70.0,100.0,79.0,75.0,90.0,,AgeofEmpiresIV
Tails of Iron,69.0,81,8.3,/game/pc/tails-of-iron/critic-reviews,,,,,,,,,,,,85.0,,85.0,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,70.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,90.0,,,,,,,,78.0,,,,82.0,,,,,,90.0,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,TailsofIron
Exo One,70.0,81,7.2,/game/pc/exo-one/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,80.0,,,,,,,,,,,,,85.0,,,,,,,,,,82.0,,,,,80.0,,,,,,,,,,,,,,,80.0,70.0,,,,,,,,,,,,,,,75.0,90.0,,,,,,,,78.0,,,,90.0,80.0,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,80.0,,,,,,,,70.0,,,,,,,,,,,ExoOne
Old World,71.0,80,7.4,/game/pc/old-world/critic-reviews,,,,,,,,85.0,,,,,,79.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,87.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,OldWorld
Dark Deity,72.0,80,4.4,/game/pc/dark-deity/critic-reviews,,,,,,,,,,,95.0,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,90.0,,,,,,,,,,,,,,80.0,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,90.0,,,,,,,,91.0,,,,,,,70.0,,,80.0,,,,,,,,,,,,,90.0,,,,,,,,,70.0,,,,,,,,,,DarkDeity
Ruined King: A League of Legends Story,73.0,80,7.7,/game/pc/ruined-king-a-league-of-legends-story/critic-reviews,,,,,,,,,,,,,,80.0,,70.0,,,,,,,,,85.0,,,,,,,,,85.0,,,,,,,,70.0,,,,,,,,,,,,,,,83.0,,,,,,,,,74.0,,,,,,,,,90.0,,,,,,,,,,80.0,83.0,,,,,,,80.0,,,,,,,,,,82.0,,80.0,85.0,80.0,,,75.0,80.0,,,,,,,79.0,,,84.0,80.0,,87.0,,,,,,,,,,,,,,88.0,,,,,,,82.0,,,,,,,83.0,,,90.0,,,,,,,,RuinedKingALeagueofLegendsStory
Skul: The Hero Slayer,74.0,80,6.4,/game/pc/skul-the-hero-slayer/critic-reviews,,,,,,,,,,,,,,85.0,,,,,,,70.0,,,,83.0,,,,,,,,70.0,,,,,,,,,,,,,,,,80.0,90.0,,,90.0,90.0,,,,,,,,,,,,,,,,,83.0,,,,,,,,,80.0,,,80.0,,,82.0,,,,,,,,87.0,60.0,,,,,,,83.0,,,,82.0,,,80.0,,,80.0,,,,,,,,,,,,,,,,90.0,,,,,,,,,,82.0,80.0,,,,,80.0,,,,,,,,,,,,,,,,,,,SkulTheHeroSlayer
Halo Infinite,75.0,80,7.0,/game/pc/halo-infinite/critic-reviews,,,,,,,70.0,,,,,,,76.0,,80.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,90.0,75.0,,75.0,,,,,,,,,,84.0,90.0,,80.0,,,,,,,70.0,,,,75.0,,,90.0,,,,80.0,80.0,,,,,,,,,,,,,,80.0,,,,80.0,,,,,,,,80.0,,100.0,,,78.0,80.0,85.0,80.0,90.0,,,,,,,,,,,65.0,,,,,,,60.0,,,,,,95.0,,80.0,,,,,,,,,,,,,,,80.0,,,,90.0,,,,HaloInfinite
Impostor Factory,76.0,80,8.5,/game/pc/impostor-factory/critic-reviews,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,80.0,,,,,,93.0,,,,,,,,,,,,,,,,80.0,,,,80.0,,67.0,,,,,,,,,,,,,91.0,,,,,,,,,,80.0,,,81.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,ImpostorFactory
